id,char,freq
1, ,91925
2,.,10200
3,그,8932
4,이,8190
5,는,6030
6,아,5871
7,가,5777
8,고,5635
9,어,5322
10,거,4923
11,지,4386
12,데,4084
13,?,3830
14,나,3601
15,다,3570
16,하,3536
17,서,3276
18,에,3247
19,도,3006
20,게,2857
21,니,2763
22,기,2328
23,은,2291
24,면,2232
25,있,2134
26,야,2124
27,한,1973
28,해,1872
29,을,1853
30,까,1847
31,라,1785
32,리,1778
33,래,1688
34,사,1647
35,근,1625
36,안,1552
37,들,1545
38,일,1524
39,로,1491
40,뭐,1406
41,시,1355
42,보,1298
43,만,1291
44,내,1287
45,같,1278
46,제,1254
47,자,1155
48,런,1151
49,너,1108
50,대,1101
51,때,1094
52,되,1017
53,으,1006
54,오,995
55,진,994
56,인,985
57,를,976
58,러,960
59,잖,939
60,었,935
61,무,935
62,마,930
63,했,917
64,막,914
65,간,908
66,수,901
67,요,896
68,구,886
69,학,873
70,애,868
71,우,841
72,생,826
73,냥,825
74,원,819
75,렇,801
76,스,799
77,말,794
78,없,791
79,짜,776
80,주,762
81,더,733
82,음,674
83,많,669
84,정,659
85,할,650
86,든,649
87,번,642
88,겠,636
89,여,623
90,부,617
91,먹,592
92,랑,585
93,금,578
94,좋,575
95,전,573
96,람,573
97,네,540
98,각,530
99,약,527
100,건,524
101,좀,508
102,알,501
103,1,500
104,걸,498
105,년,483
106,모,478
107,것,471
108,려,461
109,장,460
110,잘,457
111,드,446
112,교,446
113,않,445
114,십,445
115,상,445
116,히,439
117,르,432
118,못,429
119,맞,425
120,바,419
121,냐,417
122,또,404
123,비,404
124,던,403
125,0,402
126,저,399
127,난,395
128,단,387
129,치,387
130,중,386
131,얘,378
132,분,372
133,날,371
134,응,369
135,걔,367
136,동,366
137,2,366
138,싶,360
139,엄,356
140,월,355
141,의,354
142,봤,351
143,갔,347
144,화,336
145,트,336
146,왜,335
147,차,332
148,공,329
149,미,325
150,계,324
151,테,321
152,적,318
153,개,316
154,긴,310
155,연,307
156,봐,307
157,럼,305
158,신,302
159,았,302
160,실,300
161,집,299
162,직,299
163,영,296
164,두,293
165,명,292
166,터,291
167,살,289
168,쫌,285
169,세,285
170,물,280
171,예,274
172,삼,273
173,돼,268
174,재,268
175,친,267
176,국,267
177,과,260
178,문,258
179,운,257
180,청,255
181,식,252
182,와,250
183,소,245
184,3,245
185,디,243
186,타,242
187,피,242
188,속,242
189,랬,241
190,빠,240
191,버,239
192,처,237
193,심,234
194,갈,233
195,쪽,230
196,배,227
197,본,224
198,언,222
199,달,222
200,방,221
201,받,220
202,뭔,216
203,돈,215
204,른,214
205,선,214
206,점,213
207,유,212
208,남,208
209,조,207
210,경,207
211,반,207
212,관,205
213,느,205
214,왔,205
215,행,205
216,성,204
217,업,201
218,회,198
219,카,195
220,님,194
221,따,188
222,올,184
223,편,176
224,얼,176
225,강,175
226,떻,175
227,당,175
228,워,174
229,찮,171
230,열,171
231,크,171
232,괜,170
233,누,170
234,천,169
235,케,169
236,된,168
237,키,166
238,노,166
239,별,166
240,5,165
241,딱,165
242,입,164
243,였,162
244,볼,161
245,힘,161
246,매,156
247,작,155
248,맛,151
249,쓰,150
250,밌,150
251,임,149
252,준,148
253,새,147
254,울,146
255,체,146
256,위,145
257,등,145
258,프,143
259,양,142
260,백,140
261,4,140
262,몰,139
263,싸,139
264,즘,139
265,파,138
266,초,138
267,머,136
268,맨,134
269,줄,134
270,결,134
271,몇,133
272,혼,132
273,형,132
274,외,131
275,용,129
276,될,129
277,억,128
278,져,127
279,레,127
280,통,127
281,슨,126
282,육,125
283,산,125
284,놀,124
285,팔,124
286,술,124
287,온,122
